scan,angle_deg,range_m,quality
0,6.28,1.143,188
0,0.03,1.177,188
0,0.03,1.210,188
0,0.03,1.211,188
0,0.03,1.206,188
0,0.03,1.196,188
0,0.03,1.192,188
0,0.04,1.195,188
0,0.05,1.320,188
0,0.05,1.320,188
0,0.05,1.320,188
0,0.05,1.321,188
0,0.05,1.321,188
0,0.05,1.322,188
0,0.06,1.323,188
0,0.06,1.324,188
0,0.06,1.324,188
0,0.06,1.323,188
0,0.06,1.323,188
0,0.06,1.323,188
0,0.07,1.322,188
0,0.07,1.320,188
0,0.07,1.319,188
0,0.07,1.319,188
0,0.07,1.318,188
0,0.07,1.318,188
0,0.07,1.317,188
0,0.08,1.317,188
0,0.08,1.317,188
0,0.08,1.317,188
0,0.08,1.317,188
0,0.08,1.318,188
0,0.08,1.321,188
0,0.09,1.322,188
0,0.09,1.323,188
0,0.09,1.326,188
0,0.09,1.330,188
0,0.09,1.338,188
0,0.11,2.210,188
0,0.11,2.212,188
0,0.12,2.216,188
0,0.12,2.219,188
0,0.12,2.219,188
0,0.12,2.219,188
0,0.12,2.219,188
0,0.12,2.219,188
0,0.12,2.218,188
0,0.13,2.214,188
0,0.13,2.213,188
0,0.13,2.213,188
0,0.13,2.212,188
0,0.13,2.211,188
0,0.13,2.213,188
0,0.14,2.216,188
0,0.14,2.215,188
0,0.14,2.212,188
0,0.14,2.209,188
0,0.14,2.207,188
0,0.14,2.206,188
0,0.14,2.207,188
0,0.15,2.205,188
0,0.15,2.203,188
0,0.15,2.203,188
0,0.15,2.203,188
0,0.15,2.202,188
0,0.15,2.201,188
0,0.16,2.202,188
0,0.16,2.202,188
0,0.16,2.202,188
0,0.16,2.206,188
0,0.16,2.207,188
0,0.16,2.207,188
0,0.16,2.211,188
0,0.17,2.219,188
0,0.18,2.674,188
0,0.18,2.675,188
0,0.18,2.678,188
0,0.18,2.680,188
0,0.18,2.680,188
0,0.19,2.680,188
0,0.19,2.681,188
0,0.19,2.684,188
0,0.19,2.690,188
0,0.19,2.690,188
0,0.19,2.686,188
0,0.20,2.687,188
0,0.20,2.692,188
0,0.20,2.695,188
0,0.20,2.696,188
0,0.20,2.695,188
0,0.20,2.694,188
0,0.20,2.694,188
0,0.21,2.694,188
0,0.21,2.694,188
0,0.21,2.694,188
0,0.21,2.694,188
0,0.21,2.694,188
0,0.21,2.693,188
0,0.22,2.693,188
0,0.22,2.694,188
0,0.22,2.695,188
0,0.22,2.698,188
0,0.22,2.701,188
0,0.22,2.702,188
0,0.22,2.702,188
0,0.23,2.702,188
0,0.23,2.702,188
0,0.23,2.702,188
0,0.23,2.703,188
0,0.23,2.703,188
0,0.23,2.702,188
0,0.24,2.702,188
0,0.24,2.704,188
0,0.24,2.710,188
0,0.24,2.714,188
0,0.24,2.715,188
0,0.24,2.716,188
0,0.24,2.716,188
0,0.25,2.716,188
0,0.25,2.717,188
0,0.25,2.717,188
0,0.25,2.718,188
0,0.25,2.721,188
0,0.25,2.724,188
0,0.26,2.727,188
0,0.26,2.733,188
0,0.26,2.736,188
0,0.26,2.737,188
0,0.26,2.741,188
0,0.26,2.743,188
0,0.26,2.746,188
0,0.27,2.752,188
0,0.27,2.754,188
0,0.27,2.754,188
0,0.27,2.757,188
0,0.27,2.759,188
0,0.27,2.762,188
0,0.27,2.768,188
0,0.28,2.777,188
0,0.28,2.781,188
0,0.28,2.788,188
0,0.28,2.798,188
0,0.28,2.804,188
0,0.28,2.809,188
0,0.28,2.816,188
0,0.29,2.828,188
0,0.29,2.849,188
0,0.29,2.869,188
0,0.29,2.898,188
0,0.29,2.988,188
0,0.30,3.206,188
0,0.30,3.186,188
0,0.30,3.150,188
0,0.30,3.118,188
0,0.30,3.089,188
0,0.30,3.061,188
0,0.31,3.030,188
0,0.31,2.994,188
0,0.31,2.958,188
0,0.31,2.924,188
0,0.31,2.892,188
0,0.31,2.859,188
0,0.31,2.835,188
0,0.31,2.824,188
0,0.32,2.812,188
0,0.32,2.797,188
0,0.32,2.787,188
0,0.32,2.779,188
0,0.32,2.769,188
0,0.32,2.762,188
0,0.33,2.896,188
0,0.33,2.898,188
0,0.33,2.901,188
0,0.33,2.895,188
0,0.34,2.885,188
0,0.34,2.877,188
0,0.34,2.879,188
0,0.34,2.890,188
0,0.34,2.896,188
0,0.34,2.894,188
0,0.35,2.889,188
0,0.35,2.885,188
0,0.35,2.884,188
0,0.35,2.891,188
0,0.35,2.906,188
